[Query   1] 1 (medrank), 1 (bf), 1(real).
[Query   2] 1 (medrank), 1 (bf), 1(real).
[Query   3] 1 (medrank), 1 (bf), 1(real).
[Query   4] 4 (medrank), 4 (bf), 4(real).
[Query   5] 1 (medrank), 1 (bf), 1(real).
[Query   6] 3 (medrank), 3 (bf), 3(real).
[Query   7] 5 (medrank), 5 (bf), 5(real).
[Query   8] 1 (medrank), 1 (bf), 1(real).
[Query   9] 1 (medrank), 1 (bf), 1(real).
[Query  10] 1 (medrank), 1 (bf), 1(real).
[Query  11] 4 (medrank), 4 (bf), 4(real).
[Query  12] 4 (medrank), 4 (bf), 4(real).
[Query  13] 3 (medrank), 3 (bf), 3(real).
[Query  14] 2 (medrank), 2 (bf), 2(real).
[Query  15] 4 (medrank), 4 (bf), 4(real).
[Query  16] 2 (medrank), 2 (bf), 2(real).
[Query  17] 1 (medrank), 1 (bf), 1(real).
[Query  18] 2 (medrank), 2 (bf), 2(real).
[Query  19] 3 (medrank), 3 (bf), 3(real).
[Query  20] 3 (medrank), 3 (bf), 3(real).
[Query  21] 5 (medrank), 5 (bf), 5(real).
[Query  22] 5 (medrank), 5 (bf), 5(real).
[Query  23] 3 (medrank), 3 (bf), 3(real).
[Query  24] 1 (medrank), 1 (bf), 1(real).
[Query  25] 3 (medrank), 3 (bf), 3(real).
[Query  26] 1 (medrank), 1 (bf), 1(real).
[Query  27] 4 (medrank), 4 (bf), 4(real).
[Query  28] 4 (medrank), 4 (bf), 4(real).
[Query  29] 5 (medrank), 5 (bf), 5(real).
[Query  30] 2 (medrank), 2 (bf), 2(real).
[Query  31] 2 (medrank), 2 (bf), 2(real).
[Query  32] 3 (medrank), 3 (bf), 3(real).
[Query  33] 3 (medrank), 3 (bf), 3(real).
[Query  34] 3 (medrank), 3 (bf), 3(real).
[Query  35] 5 (medrank), 5 (bf), 5(real).
[Query  36] 5 (medrank), 5 (bf), 5(real).
[Query  37] 5 (medrank), 5 (bf), 5(real).
[Query  38] 5 (medrank), 5 (bf), 5(real).
[Query  39] 2 (medrank), 2 (bf), 2(real).
[Query  40] 1 (medrank), 1 (bf), 1(real).
[Query  41] 5 (medrank), 5 (bf), 5(real).
[Query  42] 4 (medrank), 4 (bf), 4(real).
[Query  43] 3 (medrank), 3 (bf), 3(real).
[Query  44] 5 (medrank), 5 (bf), 5(real).
[Query  45] 4 (medrank), 4 (bf), 4(real).
[Query  46] 5 (medrank), 5 (bf), 5(real).
[Query  47] 3 (medrank), 3 (bf), 3(real).
[Query  48] 3 (medrank), 3 (bf), 3(real).
[Query  49] 1 (medrank), 1 (bf), 1(real).
[Query  50] 5 (medrank), 5 (bf), 5(real).
[Query  51] 5 (medrank), 5 (bf), 5(real).
[Query  52] 1 (medrank), 1 (bf), 1(real).
[Query  53] 1 (medrank), 1 (bf), 1(real).
[Query  54] 2 (medrank), 2 (bf), 2(real).
[Query  55] 1 (medrank), 1 (bf), 1(real).
[Query  56] 1 (medrank), 1 (bf), 1(real).
[Query  57] 3 (medrank), 3 (bf), 3(real).
[Query  58] 1 (medrank), 1 (bf), 1(real).
[Query  59] 3 (medrank), 3 (bf), 3(real).
[Query  60] 5 (medrank), 5 (bf), 5(real).
[Query  61] 3 (medrank), 3 (bf), 3(real).
[Query  62] 4 (medrank), 4 (bf), 4(real).
[Query  63] 4 (medrank), 4 (bf), 4(real).
[Query  64] 4 (medrank), 4 (bf), 4(real).
[Query  65] 1 (medrank), 1 (bf), 1(real).
